,OD,ConcFormat,pH,Concentration,Person,Strain,Incubation,Antibiotic,Oxygen,ExperimentDate,PredetMIC
0,0.139,MIC8x,pH5,16.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
0,0.179,MIC4x,pH5,8.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
0,0.154,MIC2x,pH5,4.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
0,0.131,MIC1x,pH5,2.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
0,0.290,MIC0.5x,pH5,1.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
0,0.245,MIC0x,pH5,0.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
1,0.169,MIC8x,pH5,16.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
1,0.144,MIC4x,pH5,8.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
1,0.144,MIC2x,pH5,4.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
1,0.136,MIC1x,pH5,2.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
1,0.273,MIC0.5x,pH5,1.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
1,0.269,MIC0x,pH5,0.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
2,0.180,MIC8x,pH5,16.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
2,0.171,MIC4x,pH5,8.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
2,0.162,MIC2x,pH5,4.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
2,0.163,MIC1x,pH5,2.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
2,0.286,MIC0.5x,pH5,1.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
2,0.295,MIC0x,pH5,0.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
3,0.102,MIC8x,pH7,16.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
3,0.135,MIC4x,pH7,8.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
3,0.102,MIC2x,pH7,4.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
3,0.143,MIC1x,pH7,2.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
3,0.242,MIC0.5x,pH7,1.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
3,0.326,MIC0x,pH7,0.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
4,0.126,MIC8x,pH7,16.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
4,0.139,MIC4x,pH7,8.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
4,0.113,MIC2x,pH7,4.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
4,0.150,MIC1x,pH7,2.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
4,0.256,MIC0.5x,pH7,1.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
4,0.338,MIC0x,pH7,0.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
5,0.137,MIC8x,pH7,16.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
5,0.184,MIC4x,pH7,8.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
5,0.154,MIC2x,pH7,4.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
5,0.171,MIC1x,pH7,2.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
5,0.259,MIC0.5x,pH7,1.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
5,0.355,MIC0x,pH7,0.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
6,0.139,MIC8x,pH9,16.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
6,0.137,MIC4x,pH9,8.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
6,0.117,MIC2x,pH9,4.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
6,0.142,MIC1x,pH9,2.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
6,0.142,MIC0.5x,pH9,1.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
6,0.308,MIC0x,pH9,0.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
7,0.136,MIC8x,pH9,16.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
7,0.132,MIC4x,pH9,8.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
7,0.131,MIC2x,pH9,4.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
7,0.150,MIC1x,pH9,2.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
7,0.142,MIC0.5x,pH9,1.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
7,0.314,MIC0x,pH9,0.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
8,0.144,MIC8x,pH9,16.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
8,0.148,MIC4x,pH9,8.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
8,0.152,MIC2x,pH9,4.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
8,0.187,MIC1x,pH9,2.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
8,0.145,MIC0.5x,pH9,1.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
8,0.328,MIC0x,pH9,0.0,miranda,CV2008,24hr,lexofloxacin,2percent,091919,2
