,OD,ConcFormat,pH,Concentration,Person,Strain,Incubation,Antibiotic,Oxygen,ExperimentDate,PredetMIC
0,0.157,MIC8x,pH5,16.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
0,0.135,MIC4x,pH5,8.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
0,0.137,MIC2x,pH5,4.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
0,0.274,MIC1x,pH5,2.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
0,0.338,MIC0.5x,pH5,1.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
0,0.791,MIC0x,pH5,0.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
1,0.126,MIC8x,pH5,16.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
1,0.109,MIC4x,pH5,8.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
1,0.150,MIC2x,pH5,4.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
1,0.223,MIC1x,pH5,2.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
1,0.447,MIC0.5x,pH5,1.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
1,0.734,MIC0x,pH5,0.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
2,0.133,MIC8x,pH5,16.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
2,0.124,MIC4x,pH5,8.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
2,0.122,MIC2x,pH5,4.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
2,0.272,MIC1x,pH5,2.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
2,0.507,MIC0.5x,pH5,1.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
2,0.822,MIC0x,pH5,0.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
3,0.113,MIC8x,pH7,16.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
3,0.133,MIC4x,pH7,8.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
3,0.110,MIC2x,pH7,4.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
3,0.226,MIC1x,pH7,2.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
3,0.617,MIC0.5x,pH7,1.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
3,0.952,MIC0x,pH7,0.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
4,0.097,MIC8x,pH7,16.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
4,0.122,MIC4x,pH7,8.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
4,0.106,MIC2x,pH7,4.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
4,0.239,MIC1x,pH7,2.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
4,0.687,MIC0.5x,pH7,1.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
4,0.947,MIC0x,pH7,0.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
5,0.103,MIC8x,pH7,16.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
5,0.124,MIC4x,pH7,8.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
5,0.125,MIC2x,pH7,4.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
5,0.239,MIC1x,pH7,2.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
5,0.582,MIC0.5x,pH7,1.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
5,0.921,MIC0x,pH7,0.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
6,0.064,MIC8x,pH9,16.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
6,0.087,MIC4x,pH9,8.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
6,0.099,MIC2x,pH9,4.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
6,0.120,MIC1x,pH9,2.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
6,0.180,MIC0.5x,pH9,1.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
6,0.536,MIC0x,pH9,0.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
7,0.082,MIC8x,pH9,16.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
7,0.122,MIC4x,pH9,8.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
7,0.112,MIC2x,pH9,4.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
7,0.207,MIC1x,pH9,2.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
7,0.178,MIC0.5x,pH9,1.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
7,0.593,MIC0x,pH9,0.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
8,0.082,MIC8x,pH9,16.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
8,0.141,MIC4x,pH9,8.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
8,0.128,MIC2x,pH9,4.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
8,0.187,MIC1x,pH9,2.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
8,0.208,MIC0.5x,pH9,1.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
8,0.561,MIC0x,pH9,0.0,miranda,CV2008,48hr,lexofloxacin,2percent,091819,2
