,OD,ConcFormat,pH,Concentration,Person,Strain,Incubation,Antibiotic,Oxygen,ExperimentDate,PredetMIC
0,0.084,MIC8x,pH5,16.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
0,0.107,MIC4x,pH5,8.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
0,0.103,MIC2x,pH5,4.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
0,0.110,MIC1x,pH5,2.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
0,0.472,MIC0.5x,pH5,1.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
0,0.643,MIC0x,pH5,0.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
1,0.114,MIC8x,pH5,16.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
1,0.091,MIC4x,pH5,8.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
1,0.109,MIC2x,pH5,4.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
1,0.114,MIC1x,pH5,2.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
1,0.459,MIC0.5x,pH5,1.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
1,0.674,MIC0x,pH5,0.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
2,0.088,MIC8x,pH5,16.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
2,0.091,MIC4x,pH5,8.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
2,0.115,MIC2x,pH5,4.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
2,0.139,MIC1x,pH5,2.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
2,0.555,MIC0.5x,pH5,1.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
2,0.715,MIC0x,pH5,0.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
3,0.095,MIC8x,pH7,16.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
3,0.086,MIC4x,pH7,8.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
3,0.101,MIC2x,pH7,4.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
3,0.149,MIC1x,pH7,2.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
3,0.397,MIC0.5x,pH7,1.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
3,0.856,MIC0x,pH7,0.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
4,0.111,MIC8x,pH7,16.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
4,0.095,MIC4x,pH7,8.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
4,0.105,MIC2x,pH7,4.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
4,0.154,MIC1x,pH7,2.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
4,0.441,MIC0.5x,pH7,1.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
4,0.905,MIC0x,pH7,0.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
5,0.091,MIC8x,pH7,16.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
5,0.091,MIC4x,pH7,8.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
5,0.097,MIC2x,pH7,4.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
5,0.126,MIC1x,pH7,2.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
5,0.416,MIC0.5x,pH7,1.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
5,0.923,MIC0x,pH7,0.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
6,0.087,MIC8x,pH9,16.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
6,0.091,MIC4x,pH9,8.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
6,0.091,MIC2x,pH9,4.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
6,0.089,MIC1x,pH9,2.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
6,0.121,MIC0.5x,pH9,1.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
6,0.732,MIC0x,pH9,0.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
7,0.090,MIC8x,pH9,16.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
7,0.102,MIC4x,pH9,8.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
7,0.095,MIC2x,pH9,4.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
7,0.098,MIC1x,pH9,2.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
7,0.110,MIC0.5x,pH9,1.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
7,0.744,MIC0x,pH9,0.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
8,0.094,MIC8x,pH9,16.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
8,0.092,MIC4x,pH9,8.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
8,0.101,MIC2x,pH9,4.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
8,0.116,MIC1x,pH9,2.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
8,0.132,MIC0.5x,pH9,1.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
8,0.668,MIC0x,pH9,0.0,miranda,CV2008,48hr,lexofloxacin,2percent,091919,2
