,OD,ConcFormat,pH,Concentration,Person,Strain,Incubation,Antibiotic,Oxygen,ExperimentDate,PredetMIC
0,0.094,MIC8x,pH5,128.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
0,0.098,MIC4x,pH5,64.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
0,0.118,MIC2x,pH5,32.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
0,0.111,MIC1x,pH5,16.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
0,0.153,MIC0.5x,pH5,8.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
0,0.230,MIC0x,pH5,0.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
1,0.098,MIC8x,pH5,128.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
1,0.095,MIC4x,pH5,64.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
1,0.132,MIC2x,pH5,32.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
1,0.144,MIC1x,pH5,16.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
1,0.126,MIC0.5x,pH5,8.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
1,0.310,MIC0x,pH5,0.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
2,0.092,MIC8x,pH5,128.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
2,0.093,MIC4x,pH5,64.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
2,0.119,MIC2x,pH5,32.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
2,0.130,MIC1x,pH5,16.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
2,0.110,MIC0.5x,pH5,8.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
2,0.240,MIC0x,pH5,0.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
3,0.085,MIC8x,pH7,128.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
3,0.069,MIC4x,pH7,64.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
3,0.122,MIC2x,pH7,32.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
3,0.131,MIC1x,pH7,16.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
3,0.154,MIC0.5x,pH7,8.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
3,0.332,MIC0x,pH7,0.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
4,0.085,MIC8x,pH7,128.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
4,0.067,MIC4x,pH7,64.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
4,0.110,MIC2x,pH7,32.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
4,0.154,MIC1x,pH7,16.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
4,0.127,MIC0.5x,pH7,8.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
4,0.271,MIC0x,pH7,0.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
5,0.070,MIC8x,pH7,128.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
5,0.071,MIC4x,pH7,64.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
5,0.121,MIC2x,pH7,32.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
5,0.134,MIC1x,pH7,16.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
5,0.104,MIC0.5x,pH7,8.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
5,0.267,MIC0x,pH7,0.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
6,0.214,MIC8x,pH9,128.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
6,0.134,MIC4x,pH9,64.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
6,0.117,MIC2x,pH9,32.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
6,0.172,MIC1x,pH9,16.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
6,0.121,MIC0.5x,pH9,8.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
6,0.268,MIC0x,pH9,0.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
7,0.153,MIC8x,pH9,128.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
7,0.154,MIC4x,pH9,64.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
7,0.152,MIC2x,pH9,32.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
7,0.176,MIC1x,pH9,16.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
7,0.134,MIC0.5x,pH9,8.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
7,0.232,MIC0x,pH9,0.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
8,0.166,MIC8x,pH9,128.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
8,0.155,MIC4x,pH9,64.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
8,0.140,MIC2x,pH9,32.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
8,0.173,MIC1x,pH9,16.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
8,0.146,MIC0.5x,pH9,8.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
8,0.266,MIC0x,pH9,0.0,miranda,FLR19,48hr,lexofloxacin,2percent,091219,16
