,OD,ConcFormat,pH,Concentration,Person,Strain,Incubation,Antibiotic,Oxygen,ExperimentDate,PredetMIC
0,0.142,MIC8x,pH5,128.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
0,0.146,MIC4x,pH5,64.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
0,0.140,MIC2x,pH5,32.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
0,0.159,MIC1x,pH5,16.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
0,0.201,MIC0.5x,pH5,8.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
0,0.272,MIC0x,pH5,0.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
1,0.140,MIC8x,pH5,128.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
1,0.175,MIC4x,pH5,64.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
1,0.138,MIC2x,pH5,32.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
1,0.158,MIC1x,pH5,16.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
1,0.195,MIC0.5x,pH5,8.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
1,0.291,MIC0x,pH5,0.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
2,0.126,MIC8x,pH5,128.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
2,0.148,MIC4x,pH5,64.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
2,0.164,MIC2x,pH5,32.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
2,0.150,MIC1x,pH5,16.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
2,0.200,MIC0.5x,pH5,8.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
2,0.290,MIC0x,pH5,0.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
3,0.089,MIC8x,pH7,128.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
3,0.110,MIC4x,pH7,64.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
3,0.095,MIC2x,pH7,32.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
3,0.122,MIC1x,pH7,16.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
3,0.145,MIC0.5x,pH7,8.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
3,0.263,MIC0x,pH7,0.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
4,0.085,MIC8x,pH7,128.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
4,0.098,MIC4x,pH7,64.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
4,0.109,MIC2x,pH7,32.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
4,0.134,MIC1x,pH7,16.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
4,0.149,MIC0.5x,pH7,8.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
4,0.268,MIC0x,pH7,0.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
5,0.085,MIC8x,pH7,128.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
5,0.111,MIC4x,pH7,64.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
5,0.108,MIC2x,pH7,32.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
5,0.140,MIC1x,pH7,16.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
5,0.156,MIC0.5x,pH7,8.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
5,0.269,MIC0x,pH7,0.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
6,0.078,MIC8x,pH9,128.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
6,0.099,MIC4x,pH9,64.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
6,0.097,MIC2x,pH9,32.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
6,0.133,MIC1x,pH9,16.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
6,0.146,MIC0.5x,pH9,8.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
6,0.201,MIC0x,pH9,0.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
7,0.076,MIC8x,pH9,128.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
7,0.106,MIC4x,pH9,64.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
7,0.094,MIC2x,pH9,32.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
7,0.131,MIC1x,pH9,16.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
7,0.150,MIC0.5x,pH9,8.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
7,0.196,MIC0x,pH9,0.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
8,0.074,MIC8x,pH9,128.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
8,0.104,MIC4x,pH9,64.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
8,0.094,MIC2x,pH9,32.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
8,0.140,MIC1x,pH9,16.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
8,0.142,MIC0.5x,pH9,8.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
8,0.208,MIC0x,pH9,0.0,miranda,FLR19,24hr,lexofloxacin,2percent,090619,16
